Step,Accuracy type,Differential Privacy,Accuracy
37,Female,High DP (ε=1.15),0.494258385
74,Female,High DP (ε=1.15),0.493779907
111,Female,High DP (ε=1.15),0.494019127
148,Female,High DP (ε=1.15),0.494258385
185,Female,High DP (ε=1.15),0.494258385
222,Female,High DP (ε=1.15),0.494497604
259,Female,High DP (ε=1.15),0.494736824
296,Female,High DP (ε=1.15),0.494736824
333,Female,High DP (ε=1.15),0.496172256
370,Female,High DP (ε=1.15),0.496650734
407,Female,High DP (ε=1.15),0.503110046
444,Female,High DP (ε=1.15),0.510765533
481,Female,High DP (ε=1.15),0.516267929
518,Female,High DP (ε=1.15),0.52727272
555,Female,High DP (ε=1.15),0.526315804
592,Female,High DP (ε=1.15),0.543779907
629,Female,High DP (ε=1.15),0.544736824
666,Female,High DP (ε=1.15),0.544497604
703,Female,High DP (ε=1.15),0.551913872
740,Female,High DP (ε=1.15),0.554545441
777,Female,High DP (ε=1.15),0.569856453
814,Female,High DP (ε=1.15),0.561722488
851,Female,High DP (ε=1.15),0.566028709
888,Female,High DP (ε=1.15),0.577033501
925,Female,High DP (ε=1.15),0.577511978
962,Female,High DP (ε=1.15),0.583971291
999,Female,High DP (ε=1.15),0.582057419
1036,Female,High DP (ε=1.15),0.584688988
1073,Female,High DP (ε=1.15),0.581578941
1110,Female,High DP (ε=1.15),0.583014336
1147,Female,High DP (ε=1.15),0.582535896
1184,Female,High DP (ε=1.15),0.595454559
1221,Female,High DP (ε=1.15),0.578947372
1258,Female,High DP (ε=1.15),0.586602859
1295,Female,High DP (ε=1.15),0.587799034
1332,Female,High DP (ε=1.15),0.578229675
1369,Female,High DP (ε=1.15),0.591626778
1406,Female,High DP (ε=1.15),0.603827744
1443,Female,High DP (ε=1.15),0.603349266
1480,Female,High DP (ε=1.15),0.607416267
1517,Female,High DP (ε=1.15),0.608851662
1554,Female,High DP (ε=1.15),0.613397141
1591,Female,High DP (ε=1.15),0.618181801
1628,Female,High DP (ε=1.15),0.619138756
1665,Female,High DP (ε=1.15),0.622488022
1702,Female,High DP (ε=1.15),0.62942585
1739,Female,High DP (ε=1.15),0.635167465
1776,Female,High DP (ε=1.15),0.632057419
1813,Female,High DP (ε=1.15),0.643779907
1850,Female,High DP (ε=1.15),0.639234467
1887,Female,High DP (ε=1.15),0.645693817
1924,Female,High DP (ε=1.15),0.652153091
1961,Female,High DP (ε=1.15),0.663157883
1998,Female,High DP (ε=1.15),0.662440186
2035,Female,High DP (ε=1.15),0.666028671
2072,Female,High DP (ε=1.15),0.669138794
2109,Female,High DP (ε=1.15),0.677511978
2146,Female,High DP (ε=1.15),0.677511978
2183,Female,High DP (ε=1.15),0.681100464
37,Female,Low DP (ε=16.2),0.494258385
74,Female,Low DP (ε=16.2),0.494497604
111,Female,Low DP (ε=16.2),0.497368431
148,Female,Low DP (ε=16.2),0.515311012
185,Female,Low DP (ε=16.2),0.531100464
222,Female,Low DP (ε=16.2),0.543540688
259,Female,Low DP (ε=16.2),0.552870827
296,Female,Low DP (ε=16.2),0.564114838
333,Female,Low DP (ε=16.2),0.579186592
370,Female,Low DP (ε=16.2),0.580861244
407,Female,Low DP (ε=16.2),0.588995209
444,Female,Low DP (ε=16.2),0.600717697
481,Female,Low DP (ε=16.2),0.617703362
518,Female,Low DP (ε=16.2),0.638277512
555,Female,Low DP (ε=16.2),0.638038292
592,Female,Low DP (ε=16.2),0.671052628
629,Female,Low DP (ε=16.2),0.680622025
666,Female,Low DP (ε=16.2),0.710047836
703,Female,Low DP (ε=16.2),0.735406723
740,Female,Low DP (ε=16.2),0.752631607
777,Female,Low DP (ε=16.2),0.77224884
814,Female,Low DP (ε=16.2),0.794497604
851,Female,Low DP (ε=16.2),0.808612442
888,Female,Low DP (ε=16.2),0.817224884
925,Female,Low DP (ε=16.2),0.831100464
962,Female,Low DP (ε=16.2),0.838755951
999,Female,Low DP (ε=16.2),0.840669861
1036,Female,Low DP (ε=16.2),0.846411514
1073,Female,Low DP (ε=16.2),0.845215302
1110,Female,Low DP (ε=16.2),0.849521561
1147,Female,Low DP (ε=16.2),0.852631607
1184,Female,Low DP (ε=16.2),0.855263138
1221,Female,Low DP (ε=16.2),0.855502396
1258,Female,Low DP (ε=16.2),0.858134003
1295,Female,Low DP (ε=16.2),0.860765533
1332,Female,Low DP (ε=16.2),0.859808578
1369,Female,Low DP (ε=16.2),0.865550232
1406,Female,Low DP (ε=16.2),0.867464142
1443,Female,Low DP (ε=16.2),0.87081337
1480,Female,Low DP (ε=16.2),0.870095673
1517,Female,Low DP (ε=16.2),0.870574188
1554,Female,Low DP (ε=16.2),0.871052628
1591,Female,Low DP (ε=16.2),0.871531067
1628,Female,Low DP (ε=16.2),0.87224884
1665,Female,Low DP (ε=16.2),0.874401932
1702,Female,Low DP (ε=16.2),0.876555023
1739,Female,Low DP (ε=16.2),0.875837326
1776,Female,Low DP (ε=16.2),0.874641113
1813,Female,Low DP (ε=16.2),0.876555023
1850,Female,Low DP (ε=16.2),0.874401932
1887,Female,Low DP (ε=16.2),0.878947372
1924,Female,Low DP (ε=16.2),0.878229675
1961,Female,Low DP (ε=16.2),0.878708115
1998,Female,Low DP (ε=16.2),0.877511978
2035,Female,Low DP (ε=16.2),0.880143509
2072,Female,Low DP (ε=16.2),0.879425812
2109,Female,Low DP (ε=16.2),0.880861206
2146,Female,Low DP (ε=16.2),0.882775116
2183,Female,Low DP (ε=16.2),0.883253555
37,Female,Non-DP,0.912440186
74,Female,Non-DP,0.911722488
111,Female,Non-DP,0.905263138
148,Female,Non-DP,0.916507187
185,Female,Non-DP,0.917224884
222,Female,Non-DP,0.918899536
259,Female,Non-DP,0.9088517
296,Female,Non-DP,0.915071793
333,Female,Non-DP,0.914832535
370,Female,Non-DP,0.912918625
407,Female,Non-DP,0.913397141
444,Female,Non-DP,0.916746445
481,Female,Non-DP,0.90693779
518,Female,Non-DP,0.910287094
555,Female,Non-DP,0.917224884
592,Female,Non-DP,0.919377975
629,Female,Non-DP,0.899521561
666,Female,Non-DP,0.92033493
703,Female,Non-DP,0.911722488
740,Female,Non-DP,0.917942581
777,Female,Non-DP,0.909330139
814,Female,Non-DP,0.912679443
851,Female,Non-DP,0.912200928
888,Female,Non-DP,0.912679443
925,Female,Non-DP,0.915550232
962,Female,Non-DP,0.919138794
999,Female,Non-DP,0.91578949
1036,Female,Non-DP,0.906220093
1073,Female,Non-DP,0.908134003
1110,Female,Non-DP,0.904306183
1147,Female,Non-DP,0.914354095
1184,Female,Non-DP,0.917703323
1221,Female,Non-DP,0.912440186
1258,Female,Non-DP,0.914832535
1295,Female,Non-DP,0.915550232
1332,Female,Non-DP,0.916746445
1369,Female,Non-DP,0.913397141
1406,Female,Non-DP,0.915071793
1443,Female,Non-DP,0.904306183
1480,Female,Non-DP,0.913636398
1517,Female,Non-DP,0.912679443
1554,Female,Non-DP,0.913397141
1591,Female,Non-DP,0.911961746
1628,Female,Non-DP,0.914832535
1665,Female,Non-DP,0.911004791
1702,Female,Non-DP,0.912918625
1739,Female,Non-DP,0.91387558
1776,Female,Non-DP,0.91578949
1813,Female,Non-DP,0.92081337
1850,Female,Non-DP,0.911483231
1887,Female,Non-DP,0.914114838
1924,Female,Non-DP,0.915071793
1961,Female,Non-DP,0.913397141
1998,Female,Non-DP,0.900717697
2035,Female,Non-DP,0.909569397
2072,Female,Non-DP,0.915310974
2109,Female,Non-DP,0.917464142
2146,Female,Non-DP,0.914832535
2183,Female,Non-DP,0.913636398
