Step,Group,Differential Privacy,Accuracy
37,Overall,High DP (ε=1.15),0.494582443
74,Overall,High DP (ε=1.15),0.494082336
111,Overall,High DP (ε=1.15),0.494249039
148,Overall,High DP (ε=1.15),0.494415741
185,Overall,High DP (ε=1.15),0.494749107
222,Overall,High DP (ε=1.15),0.495415916
259,Overall,High DP (ε=1.15),0.495249214
296,Overall,High DP (ε=1.15),0.495415916
333,Overall,High DP (ε=1.15),0.496749458
370,Overall,High DP (ε=1.15),0.497249527
407,Overall,High DP (ε=1.15),0.503583946
444,Overall,High DP (ε=1.15),0.513418884
481,Overall,High DP (ε=1.15),0.519253197
518,Overall,High DP (ε=1.15),0.530421753
555,Overall,High DP (ε=1.15),0.529254875
592,Overall,High DP (ε=1.15),0.545090866
629,Overall,High DP (ε=1.15),0.54525753
666,Overall,High DP (ε=1.15),0.544924164
703,Overall,High DP (ε=1.15),0.551758614
740,Overall,High DP (ε=1.15),0.552425423
777,Overall,High DP (ε=1.15),0.5672612
814,Overall,High DP (ε=1.15),0.560093346
851,Overall,High DP (ε=1.15),0.564260712
888,Overall,High DP (ε=1.15),0.572095337
925,Overall,High DP (ε=1.15),0.573428917
962,Overall,High DP (ε=1.15),0.578929825
999,Overall,High DP (ε=1.15),0.577596283
1036,Overall,High DP (ε=1.15),0.579429893
1073,Overall,High DP (ε=1.15),0.577096176
1110,Overall,High DP (ε=1.15),0.579596596
1147,Overall,High DP (ε=1.15),0.578263054
1184,Overall,High DP (ε=1.15),0.589431572
1221,Overall,High DP (ε=1.15),0.576596107
1258,Overall,High DP (ε=1.15),0.583263893
1295,Overall,High DP (ε=1.15),0.583930664
1332,Overall,High DP (ε=1.15),0.575095863
1369,Overall,High DP (ε=1.15),0.587264557
1406,Overall,High DP (ε=1.15),0.598599777
1443,Overall,High DP (ε=1.15),0.598766479
1480,Overall,High DP (ε=1.15),0.603767281
1517,Overall,High DP (ε=1.15),0.605267563
1554,Overall,High DP (ε=1.15),0.609268227
1591,Overall,High DP (ε=1.15),0.61326889
1628,Overall,High DP (ε=1.15),0.612602081
1665,Overall,High DP (ε=1.15),0.61576931
1702,Overall,High DP (ε=1.15),0.622103691
1739,Overall,High DP (ε=1.15),0.625270882
1776,Overall,High DP (ε=1.15),0.623770638
1813,Overall,High DP (ε=1.15),0.63527256
1850,Overall,High DP (ε=1.15),0.63077179
1887,Overall,High DP (ε=1.15),0.636772804
1924,Overall,High DP (ε=1.15),0.642440414
1961,Overall,High DP (ε=1.15),0.651608582
1998,Overall,High DP (ε=1.15),0.651108551
2035,Overall,High DP (ε=1.15),0.65344223
2072,Overall,High DP (ε=1.15),0.65727623
2109,Overall,High DP (ε=1.15),0.665610962
2146,Overall,High DP (ε=1.15),0.66544426
2183,Overall,High DP (ε=1.15),0.667611237
37,Overall,Med DP (ε=4.98),0.49491581
74,Overall,Med DP (ε=4.98),0.494082336
111,Overall,Med DP (ε=4.98),0.494749107
148,Overall,Med DP (ε=4.98),0.500750122
185,Overall,Med DP (ε=4.98),0.507917976
222,Overall,Med DP (ε=4.98),0.515585938
259,Overall,Med DP (ε=4.98),0.521753616
296,Overall,Med DP (ε=4.98),0.527254524
333,Overall,Med DP (ε=4.98),0.545924339
370,Overall,Med DP (ε=4.98),0.553258858
407,Overall,Med DP (ε=4.98),0.567594604
444,Overall,Med DP (ε=4.98),0.575762634
481,Overall,Med DP (ε=4.98),0.58359726
518,Overall,Med DP (ε=4.98),0.58559761
555,Overall,Med DP (ε=4.98),0.582263718
592,Overall,Med DP (ε=4.98),0.598766479
629,Overall,Med DP (ε=4.98),0.599933319
666,Overall,Med DP (ε=4.98),0.604767456
703,Overall,Med DP (ε=4.98),0.622270393
740,Overall,Med DP (ε=4.98),0.621603584
777,Overall,Med DP (ε=4.98),0.63960659
814,Overall,Med DP (ε=4.98),0.645107498
851,Overall,Med DP (ε=4.98),0.658609772
888,Overall,Med DP (ε=4.98),0.664110718
925,Overall,Med DP (ε=4.98),0.680280075
962,Overall,Med DP (ε=4.98),0.696782761
999,Overall,Med DP (ε=4.98),0.710618439
1036,Overall,Med DP (ε=4.98),0.724120712
1073,Overall,Med DP (ε=4.98),0.735955963
1110,Overall,Med DP (ε=4.98),0.752458725
1147,Overall,Med DP (ε=4.98),0.760793457
1184,Overall,Med DP (ε=4.98),0.772795486
1221,Overall,Med DP (ε=4.98),0.776462708
1258,Overall,Med DP (ε=4.98),0.788131332
1295,Overall,Med DP (ε=4.98),0.791965332
1332,Overall,Med DP (ε=4.98),0.791131821
1369,Overall,Med DP (ε=4.98),0.805967636
1406,Overall,Med DP (ε=4.98),0.811635284
1443,Overall,Med DP (ε=4.98),0.813135529
1480,Overall,Med DP (ε=4.98),0.817136154
1517,Overall,Med DP (ε=4.98),0.818636475
1554,Overall,Med DP (ε=4.98),0.821303558
1591,Overall,Med DP (ε=4.98),0.819636612
1628,Overall,Med DP (ε=4.98),0.824970856
1665,Overall,Med DP (ε=4.98),0.831638641
1702,Overall,Med DP (ε=4.98),0.833805618
1739,Overall,Med DP (ε=4.98),0.833138885
1776,Overall,Med DP (ε=4.98),0.835472565
1813,Overall,Med DP (ε=4.98),0.839473267
1850,Overall,Med DP (ε=4.98),0.835305862
1887,Overall,Med DP (ε=4.98),0.839306564
1924,Overall,Med DP (ε=4.98),0.842473755
1961,Overall,Med DP (ε=4.98),0.844974136
1998,Overall,Med DP (ε=4.98),0.840973511
2035,Overall,Med DP (ε=4.98),0.84214035
2072,Overall,Med DP (ε=4.98),0.841473541
2109,Overall,Med DP (ε=4.98),0.847974625
2146,Overall,Med DP (ε=4.98),0.845307541
2183,Overall,Med DP (ε=4.98),0.843640594
37,Overall,Low DP (ε=16.2),0.494582443
74,Overall,Low DP (ε=16.2),0.494749107
111,Overall,Low DP (ε=16.2),0.499749947
148,Overall,Low DP (ε=16.2),0.516919479
185,Overall,Low DP (ε=16.2),0.53275547
222,Overall,Low DP (ε=16.2),0.545090866
259,Overall,Low DP (ε=16.2),0.552925491
296,Overall,Low DP (ε=16.2),0.560593414
333,Overall,Low DP (ε=16.2),0.573595581
370,Overall,Low DP (ε=16.2),0.577262878
407,Overall,Low DP (ε=16.2),0.584597435
444,Overall,Low DP (ε=16.2),0.595932655
481,Overall,Low DP (ε=16.2),0.613102188
518,Overall,Low DP (ε=16.2),0.629104843
555,Overall,Low DP (ε=16.2),0.63077179
592,Overall,Low DP (ε=16.2),0.659609909
629,Overall,Low DP (ε=16.2),0.667611237
666,Overall,Low DP (ε=16.2),0.690948486
703,Overall,Low DP (ε=16.2),0.715285873
740,Overall,Low DP (ε=16.2),0.729788284
777,Overall,Low DP (ε=16.2),0.747624588
814,Overall,Low DP (ε=16.2),0.767794647
851,Overall,Low DP (ε=16.2),0.779629974
888,Overall,Low DP (ε=16.2),0.790298386
925,Overall,Low DP (ε=16.2),0.80313385
962,Overall,Low DP (ε=16.2),0.810801773
